,Price,Price per m2,Rooms,Size M2,URL,Location
25,4 250 000 zł,9659 zł/m²,7 pokoi,440 m²,https://www.otodom.pl/pl/oferta/dom-na-woli-justowskiej-krakow-440m2-dzialka-15ar-ID4j8Se,"Kraków, Zwierzyniec, Wola Justowska, ul. Królowej Jadwigi"
26,749 000 zł,5905 zł/m²,4 pokoje,126.84 m²,https://www.otodom.pl/pl/oferta/ostatni-dom-blizniak-na-sprzedaz-pod-krakowem-ID4eYYg,"Kraków, Podgórze, Ul. Grabska"
27,850 000 zł,8554 zł/m²,5 pokoi,99.37 m²,https://www.otodom.pl/pl/oferta/nowy-apartament-w-inwestycji-zielona-kotowka-04-ID4igpt,"Kraków, Podgórze, ul. Kotówka"
28,673 000 zł,7950 zł/m²,4 pokoje,84.65 m²,https://www.otodom.pl/pl/oferta/krakow-petrazyckiego-4-pokoje-85m2-ogrodek-82m2-e-ID4gVKs,"Kraków, Dębniki"
29,Zapytaj o cenę,,5 pokoi,133.94 m²,https://www.otodom.pl/pl/oferta/osiedle-tyniec-park-2-dom-wolnostojacy-poddasze-ID4jbt6,"Kraków, Dębniki, ul. Dziewiarzy"
30,799 000 zł,6723 zł/m²,5 pokoi,118.84 m²,https://www.otodom.pl/pl/oferta/komfortowy-apartament-zielona-kotowka-03-ID4igoN,"Kraków, Podgórze, ul. Kotówka"
31,Zapytaj o cenę,,5 pokoi,133.94 m²,https://www.otodom.pl/pl/oferta/osiedle-tyniec-park2-dom-wolnostojacy-poddasze-ID4jkQc,"Kraków, Dębniki, ul. Dziewiarzy"
32,Zapytaj o cenę,,5 pokoi,133.94 m²,https://www.otodom.pl/pl/oferta/osiedle-tyniec-park2-dom-wolnostojacy-poddasze-ID4i1WH,"Kraków, Dębniki, ul. Dziewiarzy"
33,799 000 zł,7990 zł/m²,4 pokoje,100 m²,https://www.otodom.pl/pl/oferta/ostatni-energooszczedny-dom-blizniak-ID4gmHy,"Kraków, Nowa Huta, Kościelnicka"
34,849 000 zł,6847 zł/m²,5 pokoi,124 m²,https://www.otodom.pl/pl/oferta/dom-124-m2-z-ogrodkiem-i-garazem-bezposrednio-ID4juMw,"Kraków, Bronowice"
